Fraktion/Gruppe,Vorname,Name,ja,nein,Enthaltung,ungültig,nichtabgegeben,total_votes,ratio_ja,ratio_nein,ratio_Enthaltung,ratio_ungültig,ratio_nichtabgegeben
SPD,Dirk,Vöpel,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Dirk,Wiese,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Dunja,Kreiser,54,13,0,0,1,68,0.7941176470588235,0.19117647058823528,0.0,0.0,0.014705882352941176
Die Linke,Sonja,Lemke,23,38,6,0,1,68,0.3382352941176471,0.5588235294117647,0.08823529411764706,0.0,0.014705882352941176
SPD,Esther,Dilcher,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Helmut,Kleebank,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Isabel,Mackensen-Geis,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Jakob,Blankenburg,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Macit,Karaahmetoğlu,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Mahmut,Özdemir (Duisburg),53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Matthias,Miersch,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Rita,Schwarzelühr-Sutter,54,13,0,0,1,68,0.7941176470588235,0.19117647058823528,0.0,0.0,0.014705882352941176
SPD,Serdar,Yüksel,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Stefan,Zierke,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Thorsten,Rudolph,54,13,0,0,1,68,0.7941176470588235,0.19117647058823528,0.0,0.0,0.014705882352941176
SPD,Heike,Heubach,54,13,0,0,1,68,0.7941176470588235,0.19117647058823528,0.0,0.0,0.014705882352941176
Die Linke,Mandy,Eißing,23,38,6,0,1,68,0.3382352941176471,0.5588235294117647,0.08823529411764706,0.0,0.014705882352941176
Die Linke,David,Schliesing,23,38,6,0,1,68,0.3382352941176471,0.5588235294117647,0.08823529411764706,0.0,0.014705882352941176
Die Linke,Ates,Gürpinar,23,38,6,0,1,68,0.3382352941176471,0.5588235294117647,0.08823529411764706,0.0,0.014705882352941176
CDU/CSU,Gunther,Krichbaum,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Henning,Rehbaum,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Jan-Marco,Luczak,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Jan-Wilhelm,Pohlmann,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Jens,Lehmann,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Kai,Whittaker,52,15,0,0,1,68,0.7647058823529411,0.22058823529411764,0.0,0.0,0.014705882352941176
CDU/CSU,Katja,Strauss-Köster,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Katrin,Staffler,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Klaus,Mack,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Klaus,Wiener,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Knut,Abraham,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Leif Erik,Bodin,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Lukas,Krieger,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Matthias,Hiller,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Michael,Brand (Fulda),53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Michael,Donth,54,13,0,0,1,68,0.7941176470588235,0.19117647058823528,0.0,0.0,0.014705882352941176
CDU/CSU,Nicklas,Kappe,52,14,1,0,1,68,0.7647058823529411,0.20588235294117646,0.014705882352941176,0.0,0.014705882352941176
CDU/CSU,Norbert,Röttgen,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Ottilie,Klein,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Pascal,Reddig,52,15,0,0,1,68,0.7647058823529411,0.22058823529411764,0.0,0.0,0.014705882352941176
CDU/CSU,Paul,Ziemiak,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Sebastian,Schmidt,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Wolfgang,Dahler,54,13,0,0,1,68,0.7941176470588235,0.19117647058823528,0.0,0.0,0.014705882352941176
CDU/CSU,Fritz,Güntzler,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
BÜ90/GR,Marcel,Emmerich,33,27,7,0,1,68,0.4852941176470588,0.39705882352941174,0.10294117647058823,0.0,0.014705882352941176
SPD,Wiebke,Esdar,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
AfD,Hauke,Finger,22,42,3,0,1,68,0.3235294117647059,0.6176470588235294,0.04411764705882353,0.0,0.014705882352941176
